Player,Team,Img,Birth date,Nationality,Height,Position,opta_id,sc_id,sics_id
Wojciech Szczesny,Juventus,https://img.a.transfermarkt.technology/portrait/header/44058-1595847517.jpg?lm=1,"Apr 18, 1990",Poland,"1,96 m",Goalkeeper,59936,10903,7968
Mattia Perin,Juventus,https://img.a.transfermarkt.technology/portrait/header/110923-1607528390.jpg?lm=1,"Nov 10, 1992",Italy,"1,88 m",Goalkeeper,87995,7280,6508
Carlo Pinsoglio,Juventus,https://img.a.transfermarkt.technology/portrait/header/75411-1663577377.jpg?lm=1,"Mar 16, 1990",Italy,"1,94 m",Goalkeeper,59338,12767,5770
Ionut Radu,Inter,https://img.a.transfermarkt.technology/portrait/header/303657-1661515008.jpg?lm=1,"May 28, 1997",Romania,"1,88 m",Goalkeeper,215531,14164,11017
Samir Handanovic,Inter,https://img.a.transfermarkt.technology/portrait/header/28021-1686929975.jpg?lm=1,"Jul 14, 1984",Slovenia,"1,93 m",Goalkeeper,18383,9494,6083
Mike Maignan,Milan,https://img.a.transfermarkt.technology/portrait/header/182906-1681459155.jpg?lm=1,"Jul 3, 1995",France,"1,91 m",Goalkeeper,129487,7604,21438
Ciprian Tatarusanu,Milan,https://img.a.transfermarkt.technology/portrait/header/55282-1663574299.jpg?lm=1,"Feb 9, 1986",Romania,"1,98 m",Goalkeeper,44898,1919,6028
Alex Meret,Napoli,https://img.a.transfermarkt.technology/portrait/header/240414-1595847422.jpg?lm=1,"Mar 22, 1997",Italy,"1,90 m",Goalkeeper,171366,13445,6336
David Ospina,Napoli,https://img.a.transfermarkt.technology/portrait/header/73396-1685034670.PNG?lm=1,"Aug 31, 1988",Colombia,"1,83 m",Goalkeeper,48844,2478,7713
Davide Marfella,Napoli,https://img.a.transfermarkt.technology/portrait/header/417414-1633953018.jpg?lm=1,"Sep 15, 1999",Italy,"1,82 m",Goalkeeper,460758,63462,21915
Juan Musso,Atalanta,https://img.a.transfermarkt.technology/portrait/header/242359-1663583047.jpg?lm=1,"May 6, 1994",Argentina,"1,91 m",Goalkeeper,121537,14085,16872
Marco Sportiello,Atalanta,https://img.a.transfermarkt.technology/portrait/header/199976-1661351013.jpg?lm=1,"May 10, 1992",Italy,"1,92 m",Goalkeeper,55083,6811,6450
Francesco Rossi,Atalanta,https://img.a.transfermarkt.technology/portrait/header/126634-1644234341.jpg?lm=1,"Apr 27, 1991",Italy,"1,93 m",Goalkeeper,73709,14076,12010
Rui Patrício,Roma,https://img.a.transfermarkt.technology/portrait/header/45026-1661350448.jpg?lm=1,"Feb 15, 1988",Portugal,"1,90 m",Goalkeeper,38533,9380,7543
Bartlomiej Dragowski,Fiorentina,https://img.a.transfermarkt.technology/portrait/header/208166-1663686932.jpg?lm=1,"Aug 19, 1997",Poland,"1,91 m",Goalkeeper,162842,13025,11543
Pietro Terracciano,Fiorentina,https://img.a.transfermarkt.technology/portrait/header/96254-1595853091.jpg?lm=1,"Mar 8, 1990",Italy,"1,93 m",Goalkeeper,79583,8706,9194
Thomas Strakosha,Lazio,https://img.a.transfermarkt.technology/portrait/header/222209-1594713885.jpg?lm=1,"Mar 19, 1995",Albania,"1,93 m",Goalkeeper,140200,13293,6142
Pepe Reina,Lazio,https://img.a.transfermarkt.technology/portrait/header/7825-1448528367.jpg?lm=1,"Aug 31, 1982",Spain,"1,88 m",Goalkeeper,8432,8608,8633
Andrea Consigli,Sassuolo,https://img.a.transfermarkt.technology/portrait/header/35865-1595849608.jpg?lm=1,"Jan 27, 1987",Italy,"1,89 m",Goalkeeper,18500,764,6275
Gianluca Pegolo,Sassuolo,https://img.a.transfermarkt.technology/portrait/header/21872-1449059014.jpg?lm=1,"Mar 25, 1981",Italy,"1,83 m",Goalkeeper,7485,3900,6249
Vanja Milinković-Savić,Torino,https://img.a.transfermarkt.technology/portrait/header/257474-1630509279.jpg?lm=1,"Feb 20, 1997",Serbia,"2,02 m",Goalkeeper,193773,10639,12261
Etrit Berisha,Torino,https://img.a.transfermarkt.technology/portrait/header/77825-1595850441.jpg?lm=1,"Mar 10, 1989",Albania,"1,94 m",Goalkeeper,61824,3191,6137
Luca Gemello,Torino,https://img.a.transfermarkt.technology/portrait/header/463792-1625067521.jpg?lm=1,"Jul 3, 2000",Italy,"1,90 m",Goalkeeper,473242,26586,16095
Lukasz Skorupski,Bologna,https://img.a.transfermarkt.technology/portrait/header/80894-1595848892.jpg?lm=1,"May 5, 1991",Poland,"1,87 m",Goalkeeper,85288,6494,6966
